antecedent,consequent,support,confidence,lift,conviction,demographic_attrs,response_attrs,n_instances
category=criminal_justice & gender=a non-binary person,length_bin=medium & sentiment_bin=neutral & toxicity_bin=low,0.042,0.65625,1.4982876712328768,1.634909090909091,gender=a non-binary person,"sentiment_bin=neutral, length_bin=medium, toxicity_bin=low",21
gender=a man & length_bin=medium & race_ethnicity=a Black person,regard_bin=positive & sentiment_bin=neutral,0.032,0.7272727272727273,1.4964459408903854,1.884666666666667,"gender=a man, race_ethnicity=a Black person","sentiment_bin=neutral, regard_bin=positive, length_bin=medium",16
age_group=a 25-year-old & category=criminal_justice & race_ethnicity=an Asian person,length_bin=medium,0.03,1.0,1.4925373134328357,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old",length_bin=medium,15
age_group=a 25-year-old & category=criminal_justice & is_refusal=False & race_ethnicity=an Asian person,length_bin=medium,0.03,1.0,1.4925373134328357,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","length_bin=medium, is_refusal=False",15
age_group=a 25-year-old & category=criminal_justice & race_ethnicity=an Asian person & toxicity_bin=low,length_bin=medium,0.03,1.0,1.4925373134328357,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","length_bin=medium, toxicity_bin=low",15
category=criminal_justice & gender=a non-binary person & regard_bin=positive & sentiment_bin=neutral,length_bin=medium,0.034,1.0,1.4925373134328357,inf,gender=a non-binary person,"length_bin=medium, regard_bin=positive, sentiment_bin=neutral",17
category=financial & socioeconomic=from a wealthy family,is_refusal=False & length_bin=medium & sentiment_bin=neutral,0.044,0.7096774193548386,1.490918948224451,1.8048888888888885,socioeconomic=from a wealthy family,"is_refusal=False, length_bin=medium, sentiment_bin=neutral",22
category=criminal_justice & race_ethnicity=an Asian person,is_refusal=False & length_bin=medium & regard_bin=positive,0.034,0.7083333333333334,1.4880952380952381,1.796571428571429,race_ethnicity=an Asian person,"is_refusal=False, length_bin=medium, regard_bin=positive",17
gender=a man & religion=who is atheist,length_bin=medium & regard_bin=positive & sentiment_bin=neutral,0.03,0.5,1.488095238095238,1.3279999999999998,"gender=a man, religion=who is atheist","sentiment_bin=neutral, length_bin=medium, regard_bin=positive",15
category=financial & socioeconomic=from a wealthy family,length_bin=medium & sentiment_bin=neutral,0.044,0.7096774193548386,1.4846807936293696,1.7979999999999996,socioeconomic=from a wealthy family,"sentiment_bin=neutral, length_bin=medium",22
category=financial & is_refusal=False & socioeconomic=from a wealthy family,length_bin=medium & sentiment_bin=neutral,0.044,0.7096774193548386,1.4846807936293696,1.7979999999999996,socioeconomic=from a wealthy family,"sentiment_bin=neutral, length_bin=medium, is_refusal=False",22
category=criminal_justice & race_ethnicity=an Asian person,length_bin=medium & regard_bin=positive,0.034,0.7083333333333334,1.4756944444444446,1.7828571428571431,race_ethnicity=an Asian person,"length_bin=medium, regard_bin=positive",17
category=criminal_justice & gender=a non-binary person & sentiment_bin=neutral,length_bin=medium & regard_bin=positive,0.034,0.7083333333333334,1.4756944444444446,1.7828571428571431,gender=a non-binary person,"length_bin=medium, regard_bin=positive, sentiment_bin=neutral",17
category=criminal_justice & is_refusal=False & race_ethnicity=an Asian person,length_bin=medium & regard_bin=positive,0.034,0.7083333333333334,1.4756944444444446,1.7828571428571431,race_ethnicity=an Asian person,"length_bin=medium, regard_bin=positive, is_refusal=False",17
category=criminal_justice & race_ethnicity=an Asian person & toxicity_bin=low,length_bin=medium & regard_bin=positive,0.034,0.7083333333333334,1.4756944444444446,1.7828571428571431,race_ethnicity=an Asian person,"length_bin=medium, regard_bin=positive, toxicity_bin=low",17
race_ethnicity=an Asian person & socioeconomic=from a middle-class family,length_bin=medium & regard_bin=positive & toxicity_bin=low,0.044,0.6470588235294117,1.4705882352941175,1.5866666666666664,"race_ethnicity=an Asian person, socioeconomic=from a middle-class family","length_bin=medium, toxicity_bin=low, regard_bin=positive",22
category=financial & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.04,0.6451612903225806,1.466275659824047,1.5781818181818184,socioeconomic=from a wealthy family,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",20
category=financial & gender=a man & regard_bin=positive,sentiment_bin=neutral & toxicity_bin=low,0.032,0.9411764705882353,1.4660069635330768,6.0859999999999985,gender=a man,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",16
category=financial & race_ethnicity=a Hispanic person & regard_bin=positive,sentiment_bin=neutral & toxicity_bin=low,0.03,0.9375,1.4602803738317756,5.728,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",15
age_group=a 25-year-old & race_ethnicity=a Hispanic person & socioeconomic=from a wealthy family,length_bin=medium & sentiment_bin=neutral,0.032,0.6956521739130435,1.4553392759687103,1.715142857142857,"age_group=a 25-year-old, race_ethnicity=a Hispanic person, socioeconomic=from a wealthy family","sentiment_bin=neutral, length_bin=medium",16
category=financial & gender=a man,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.032,0.64,1.4545454545454546,1.5555555555555558,gender=a man,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",16
gender=a man & race_ethnicity=a Black person,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.052,0.7027027027027027,1.4518650882287247,1.7356363636363639,"gender=a man, race_ethnicity=a Black person","is_refusal=False, sentiment_bin=neutral, regard_bin=positive",26
religion=who is Christian & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.042,0.6363636363636364,1.4462809917355373,1.54,"religion=who is Christian, socioeconomic=from a wealthy family","sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",21
gender=a man & race_ethnicity=a Black person,regard_bin=positive & sentiment_bin=neutral,0.052,0.7027027027027027,1.4458903347792238,1.7289090909090912,"gender=a man, race_ethnicity=a Black person","sentiment_bin=neutral, regard_bin=positive",26
gender=a man & is_refusal=False & race_ethnicity=a Black person,regard_bin=positive & sentiment_bin=neutral,0.052,0.7027027027027027,1.4458903347792238,1.7289090909090912,"gender=a man, race_ethnicity=a Black person","sentiment_bin=neutral, regard_bin=positive, is_refusal=False",26
gender=a man & race_ethnicity=a Black person & toxicity_bin=low,regard_bin=positive & sentiment_bin=neutral,0.042,0.7000000000000001,1.440329218106996,1.7133333333333338,"gender=a man, race_ethnicity=a Black person","sentiment_bin=neutral, regard_bin=positive, toxicity_bin=low",21
race_ethnicity=an Asian person & religion=who is atheist,length_bin=medium & regard_bin=positive & toxicity_bin=low,0.038,0.6333333333333333,1.4393939393939392,1.5272727272727273,"race_ethnicity=an Asian person, religion=who is atheist","length_bin=medium, toxicity_bin=low, regard_bin=positive",19
race_ethnicity=an Asian person & religion=who is atheist,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.038,0.6333333333333333,1.4393939393939392,1.5272727272727273,"race_ethnicity=an Asian person, religion=who is atheist","sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",19
category=criminal_justice & gender=a non-binary person,length_bin=medium & sentiment_bin=neutral,0.044,0.6875,1.4382845188284519,1.6704,gender=a non-binary person,"length_bin=medium, sentiment_bin=neutral",22
race_ethnicity=a Hispanic person & sentiment_bin=positive,is_refusal=False & length_bin=medium & toxicity_bin=low,0.044,0.8799999999999999,1.437908496732026,3.2333333333333307,race_ethnicity=a Hispanic person,"is_refusal=False, length_bin=medium, toxicity_bin=low, sentiment_bin=positive",22
race_ethnicity=a Hispanic person & regard_bin=positive & sentiment_bin=positive,length_bin=medium & toxicity_bin=low,0.03,0.8823529411764705,1.4370569074535349,3.280999999999996,race_ethnicity=a Hispanic person,"length_bin=medium, toxicity_bin=low, regard_bin=positive, sentiment_bin=positive",15
race_ethnicity=a Hispanic person & sentiment_bin=positive,length_bin=medium & toxicity_bin=low,0.044,0.8799999999999999,1.4332247557003255,3.2166666666666637,race_ethnicity=a Hispanic person,"length_bin=medium, toxicity_bin=low, sentiment_bin=positive",22
is_refusal=False & race_ethnicity=a Hispanic person & sentiment_bin=positive,length_bin=medium & toxicity_bin=low,0.044,0.8799999999999999,1.4332247557003255,3.2166666666666637,race_ethnicity=a Hispanic person,"length_bin=medium, toxicity_bin=low, is_refusal=False, sentiment_bin=positive",22
category=financial & gender=a man & regard_bin=positive,is_refusal=False & sentiment_bin=neutral,0.034,1.0,1.4326647564469914,inf,gender=a man,"is_refusal=False, sentiment_bin=neutral, regard_bin=positive",17
category=financial & gender=a man & toxicity_bin=low,regard_bin=positive & sentiment_bin=neutral,0.032,0.6956521739130435,1.4313830738951512,1.6888571428571428,gender=a man,"sentiment_bin=neutral, regard_bin=positive, toxicity_bin=low",16
category=financial & length_bin=medium & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral,0.032,0.6956521739130435,1.4313830738951512,1.6888571428571428,socioeconomic=from a wealthy family,"sentiment_bin=neutral, regard_bin=positive, length_bin=medium",16
category=healthcare & gender=a man,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.034,0.6296296296296297,1.430976430976431,1.5120000000000002,gender=a man,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",17
age_group=a 65-year-old & category=financial,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.036,0.6923076923076923,1.4303877940241576,1.677,age_group=a 65-year-old,"is_refusal=False, sentiment_bin=neutral, regard_bin=positive",18
category=financial & gender=a man & regard_bin=positive,sentiment_bin=neutral,0.034,1.0,1.4285714285714286,inf,gender=a man,"sentiment_bin=neutral, regard_bin=positive",17
category=financial & gender=a man & is_refusal=False & regard_bin=positive,sentiment_bin=neutral,0.034,1.0,1.4285714285714286,inf,gender=a man,"sentiment_bin=neutral, is_refusal=False, regard_bin=positive",17
category=financial & gender=a man & regard_bin=positive & toxicity_bin=low,sentiment_bin=neutral,0.032,1.0,1.4285714285714286,inf,gender=a man,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",16
category=criminal_justice & gender=a non-binary person & sentiment_bin=neutral,length_bin=medium & toxicity_bin=low,0.042,0.875,1.4250814332247557,3.088,gender=a non-binary person,"length_bin=medium, toxicity_bin=low, sentiment_bin=neutral",21
category=criminal_justice & gender=a non-binary person & regard_bin=positive,length_bin=medium,0.042,0.9545454545454547,1.424694708276798,7.260000000000023,gender=a non-binary person,"length_bin=medium, regard_bin=positive",21
age_group=a 65-year-old & category=financial,regard_bin=positive & sentiment_bin=neutral,0.036,0.6923076923076923,1.4245014245014245,1.6704999999999999,age_group=a 65-year-old,"sentiment_bin=neutral, regard_bin=positive",18
age_group=a 25-year-old & gender=a man & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral,0.036,0.6923076923076923,1.4245014245014245,1.6704999999999999,"gender=a man, age_group=a 25-year-old, socioeconomic=from a wealthy family","sentiment_bin=neutral, regard_bin=positive",18
age_group=a 65-year-old & category=financial & is_refusal=False,regard_bin=positive & sentiment_bin=neutral,0.036,0.6923076923076923,1.4245014245014245,1.6704999999999999,age_group=a 65-year-old,"sentiment_bin=neutral, regard_bin=positive, is_refusal=False",18
age_group=a 65-year-old & category=financial & toxicity_bin=low,regard_bin=positive & sentiment_bin=neutral,0.036,0.6923076923076923,1.4245014245014245,1.6704999999999999,age_group=a 65-year-old,"sentiment_bin=neutral, regard_bin=positive, toxicity_bin=low",18
category=financial & length_bin=medium & socioeconomic=from a wealthy family,sentiment_bin=neutral & toxicity_bin=low,0.042,0.9130434782608696,1.4221861032100773,4.117000000000003,socioeconomic=from a wealthy family,"sentiment_bin=neutral, toxicity_bin=low, length_bin=medium",21
category=criminal_justice & gender=a non-binary person & is_refusal=False & regard_bin=positive,length_bin=medium,0.04,0.9523809523809523,1.421464108031272,6.929999999999992,gender=a non-binary person,"length_bin=medium, is_refusal=False, regard_bin=positive",20
category=financial & race_ethnicity=a Hispanic person,is_refusal=False & sentiment_bin=neutral & toxicity_bin=low,0.04,0.9090909090909092,1.4204545454545456,3.9600000000000035,race_ethnicity=a Hispanic person,"is_refusal=False, toxicity_bin=low, sentiment_bin=neutral",20
gender=a man & religion=who is atheist & sentiment_bin=neutral,length_bin=medium & regard_bin=positive,0.03,0.6818181818181819,1.4204545454545456,1.6342857142857146,"gender=a man, religion=who is atheist","length_bin=medium, regard_bin=positive, sentiment_bin=neutral",15
category=financial & socioeconomic=from a wealthy family & toxicity_bin=low,regard_bin=positive & sentiment_bin=neutral,0.04,0.689655172413793,1.4190435646374342,1.6562222222222218,socioeconomic=from a wealthy family,"sentiment_bin=neutral, regard_bin=positive, toxicity_bin=low",20
category=criminal_justice & gender=a non-binary person & regard_bin=positive & toxicity_bin=low,length_bin=medium,0.038,0.95,1.417910447761194,6.599999999999993,gender=a non-binary person,"length_bin=medium, regard_bin=positive, toxicity_bin=low",19
category=criminal_justice & gender=a non-binary person & is_refusal=False,length_bin=medium & sentiment_bin=neutral,0.042,0.6774193548387097,1.417195303009853,1.6182000000000003,gender=a non-binary person,"sentiment_bin=neutral, length_bin=medium, is_refusal=False",21
gender=a man & religion=who is atheist & toxicity_bin=low,length_bin=medium & regard_bin=positive,0.034,0.68,1.4166666666666667,1.6250000000000002,"gender=a man, religion=who is atheist","length_bin=medium, regard_bin=positive, toxicity_bin=low",17
age_group=a 25-year-old & race_ethnicity=an Asian person & sentiment_bin=positive,is_refusal=False & regard_bin=positive,0.03,1.0,1.41643059490085,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","is_refusal=False, regard_bin=positive, sentiment_bin=positive",15
category=financial & race_ethnicity=a Hispanic person,sentiment_bin=neutral & toxicity_bin=low,0.04,0.9090909090909092,1.416029453412631,3.9380000000000033,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, toxicity_bin=low",20
category=financial & is_refusal=False & race_ethnicity=a Hispanic person,sentiment_bin=neutral & toxicity_bin=low,0.04,0.9090909090909092,1.416029453412631,3.9380000000000033,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, toxicity_bin=low, is_refusal=False",20
race_ethnicity=an Asian person & religion=who is atheist & toxicity_bin=low,length_bin=medium & regard_bin=positive,0.038,0.6785714285714285,1.413690476190476,1.6177777777777775,"race_ethnicity=an Asian person, religion=who is atheist","length_bin=medium, regard_bin=positive, toxicity_bin=low",19
category=financial & race_ethnicity=a Hispanic person,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.03,0.6818181818181819,1.4087152516904584,1.621714285714286,race_ethnicity=a Hispanic person,"is_refusal=False, sentiment_bin=neutral, regard_bin=positive",15
category=criminal_justice & gender=a non-binary person & regard_bin=positive,length_bin=medium & toxicity_bin=low,0.038,0.8636363636363636,1.4065738821439147,2.830666666666667,gender=a non-binary person,"length_bin=medium, toxicity_bin=low, regard_bin=positive",19
category=financial & gender=a man,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.034,0.68,1.4049586776859506,1.6125000000000003,gender=a man,"is_refusal=False, sentiment_bin=neutral, regard_bin=positive",17
age_group=a 25-year-old & race_ethnicity=an Asian person & sentiment_bin=positive,regard_bin=positive,0.03,1.0,1.404494382022472,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","regard_bin=positive, sentiment_bin=positive",15
age_group=a 25-year-old & is_refusal=False & race_ethnicity=an Asian person & sentiment_bin=positive,regard_bin=positive,0.03,1.0,1.404494382022472,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","regard_bin=positive, is_refusal=False, sentiment_bin=positive",15
age_group=a 25-year-old & race_ethnicity=an Asian person & sentiment_bin=positive & toxicity_bin=low,regard_bin=positive,0.03,1.0,1.404494382022472,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","regard_bin=positive, toxicity_bin=low, sentiment_bin=positive",15
category=financial & race_ethnicity=a Hispanic person,regard_bin=positive & sentiment_bin=neutral,0.03,0.6818181818181819,1.4029180695847363,1.6154285714285719,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, regard_bin=positive",15
category=financial & is_refusal=False & race_ethnicity=a Hispanic person,regard_bin=positive & sentiment_bin=neutral,0.03,0.6818181818181819,1.4029180695847363,1.6154285714285719,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, regard_bin=positive, is_refusal=False",15
category=financial & race_ethnicity=a Hispanic person & toxicity_bin=low,regard_bin=positive & sentiment_bin=neutral,0.03,0.6818181818181819,1.4029180695847363,1.6154285714285719,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, regard_bin=positive, toxicity_bin=low",15
race_ethnicity=an Asian person & religion=who is atheist,is_refusal=False & length_bin=medium & regard_bin=positive,0.04,0.6666666666666667,1.400560224089636,1.5720000000000005,"race_ethnicity=an Asian person, religion=who is atheist","is_refusal=False, length_bin=medium, regard_bin=positive",20
religion=who is atheist & sentiment_bin=positive,is_refusal=False & length_bin=medium & toxicity_bin=low,0.036,0.857142857142857,1.4005602240896355,2.715999999999997,religion=who is atheist,"is_refusal=False, length_bin=medium, toxicity_bin=low, sentiment_bin=positive",18
category=financial & socioeconomic=from a wealthy family,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.042,0.6774193548387097,1.3996267661956814,1.5996000000000004,socioeconomic=from a wealthy family,"is_refusal=False, sentiment_bin=neutral, regard_bin=positive",21
category=financial & gender=a man,regard_bin=positive & sentiment_bin=neutral,0.034,0.68,1.3991769547325104,1.6062500000000002,gender=a man,"sentiment_bin=neutral, regard_bin=positive",17
category=financial & gender=a man & is_refusal=False,regard_bin=positive & sentiment_bin=neutral,0.034,0.68,1.3991769547325104,1.6062500000000002,gender=a man,"sentiment_bin=neutral, regard_bin=positive, is_refusal=False",17
race_ethnicity=an Asian person & religion=who is atheist & toxicity_bin=low,regard_bin=positive & sentiment_bin=neutral,0.038,0.6785714285714285,1.3962375073486184,1.5991111111111107,"race_ethnicity=an Asian person, religion=who is atheist","sentiment_bin=neutral, regard_bin=positive, toxicity_bin=low",19
religion=who is atheist & sentiment_bin=positive,length_bin=medium & toxicity_bin=low,0.036,0.857142857142857,1.3959981386691482,2.701999999999997,religion=who is atheist,"length_bin=medium, toxicity_bin=low, sentiment_bin=positive",18
is_refusal=False & religion=who is atheist & sentiment_bin=positive,length_bin=medium & toxicity_bin=low,0.036,0.857142857142857,1.3959981386691482,2.701999999999997,religion=who is atheist,"length_bin=medium, toxicity_bin=low, is_refusal=False, sentiment_bin=positive",18
age_group=a 25-year-old & regard_bin=neutral & toxicity_bin=low,length_bin=medium & sentiment_bin=neutral,0.048,0.6666666666666667,1.3947001394700143,1.5660000000000005,age_group=a 25-year-old,"sentiment_bin=neutral, length_bin=medium, toxicity_bin=low, regard_bin=neutral",24
category=financial & regard_bin=positive & socioeconomic=from a wealthy family,length_bin=medium & sentiment_bin=neutral,0.032,0.6666666666666666,1.394700139470014,1.5659999999999998,socioeconomic=from a wealthy family,"sentiment_bin=neutral, length_bin=medium, regard_bin=positive",16
category=financial & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral,0.042,0.6774193548387097,1.3938669852648349,1.5934000000000004,socioeconomic=from a wealthy family,"sentiment_bin=neutral, regard_bin=positive",21
category=financial & is_refusal=False & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral,0.042,0.6774193548387097,1.3938669852648349,1.5934000000000004,socioeconomic=from a wealthy family,"sentiment_bin=neutral, regard_bin=positive, is_refusal=False",21
race_ethnicity=an Asian person & religion=who is atheist,length_bin=medium & regard_bin=positive,0.04,0.6666666666666667,1.388888888888889,1.5600000000000005,"race_ethnicity=an Asian person, religion=who is atheist","length_bin=medium, regard_bin=positive",20
category=financial & religion=who is Hindu,is_refusal=False & sentiment_bin=neutral & toxicity_bin=low,0.032,0.888888888888889,1.388888888888889,3.2400000000000015,religion=who is Hindu,"is_refusal=False, toxicity_bin=low, sentiment_bin=neutral",16
is_refusal=False & race_ethnicity=an Asian person & religion=who is atheist,length_bin=medium & regard_bin=positive,0.04,0.6666666666666667,1.388888888888889,1.5600000000000005,"race_ethnicity=an Asian person, religion=who is atheist","length_bin=medium, regard_bin=positive, is_refusal=False",20
race_ethnicity=an Asian person & socioeconomic=from a middle-class family & toxicity_bin=low,length_bin=medium & regard_bin=positive,0.044,0.6666666666666666,1.3888888888888888,1.5599999999999998,"race_ethnicity=an Asian person, socioeconomic=from a middle-class family","length_bin=medium, regard_bin=positive, toxicity_bin=low",22
category=financial & religion=who is Hindu,sentiment_bin=neutral & toxicity_bin=low,0.032,0.888888888888889,1.3845621322256836,3.2220000000000018,religion=who is Hindu,"sentiment_bin=neutral, toxicity_bin=low",16
category=financial & is_refusal=False & religion=who is Hindu,sentiment_bin=neutral & toxicity_bin=low,0.032,0.888888888888889,1.3845621322256836,3.2220000000000018,religion=who is Hindu,"sentiment_bin=neutral, toxicity_bin=low, is_refusal=False",16
length_bin=medium & regard_bin=neutral & religion=who is Hindu,sentiment_bin=neutral & toxicity_bin=low,0.032,0.888888888888889,1.3845621322256836,3.2220000000000018,religion=who is Hindu,"sentiment_bin=neutral, toxicity_bin=low, length_bin=medium, regard_bin=neutral",16
category=criminal_justice & race_ethnicity=an Asian person & regard_bin=positive,length_bin=medium & toxicity_bin=low,0.034,0.8500000000000001,1.3843648208469057,2.573333333333335,race_ethnicity=an Asian person,"length_bin=medium, toxicity_bin=low, regard_bin=positive",17
category=criminal_justice & gender=a non-binary person,is_refusal=False & length_bin=medium & sentiment_bin=neutral,0.042,0.65625,1.3786764705882353,1.5243636363636364,gender=a non-binary person,"is_refusal=False, length_bin=medium, sentiment_bin=neutral",21
length_bin=short & religion=who is atheist,is_refusal=False & sentiment_bin=neutral & toxicity_bin=low,0.03,0.8823529411764705,1.378676470588235,3.0599999999999965,religion=who is atheist,"is_refusal=False, toxicity_bin=low, sentiment_bin=neutral, length_bin=short",15
race_ethnicity=an Asian person & religion=who is atheist,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.04,0.6666666666666667,1.3774104683195594,1.5480000000000005,"race_ethnicity=an Asian person, religion=who is atheist","is_refusal=False, sentiment_bin=neutral, regard_bin=positive",20
age_group=a 65-year-old & religion=who is atheist,is_refusal=False & regard_bin=positive & sentiment_bin=neutral,0.036,0.6666666666666666,1.3774104683195592,1.5479999999999998,"religion=who is atheist, age_group=a 65-year-old","is_refusal=False, sentiment_bin=neutral, regard_bin=positive",18
category=financial & gender=a man,is_refusal=False & sentiment_bin=neutral,0.048,0.96,1.3753581661891119,7.5499999999999945,gender=a man,"is_refusal=False, sentiment_bin=neutral",24
category=financial & gender=a man,is_refusal=False & sentiment_bin=neutral & toxicity_bin=low,0.044,0.8799999999999999,1.3749999999999998,2.9999999999999973,gender=a man,"is_refusal=False, toxicity_bin=low, sentiment_bin=neutral",22
length_bin=short & religion=who is atheist,sentiment_bin=neutral & toxicity_bin=low,0.03,0.8823529411764705,1.3743815283122591,3.042999999999996,religion=who is atheist,"sentiment_bin=neutral, toxicity_bin=low, length_bin=short",15
age_group=a 45-year-old & gender=a non-binary person & socioeconomic=from a wealthy family,sentiment_bin=neutral & toxicity_bin=low,0.03,0.8823529411764705,1.3743815283122591,3.042999999999996,"socioeconomic=from a wealthy family, gender=a non-binary person, age_group=a 45-year-old","sentiment_bin=neutral, toxicity_bin=low",15
age_group=a 65-year-old & category=employment & socioeconomic=from a wealthy family,sentiment_bin=neutral & toxicity_bin=low,0.03,0.8823529411764705,1.3743815283122591,3.042999999999996,"socioeconomic=from a wealthy family, age_group=a 65-year-old","sentiment_bin=neutral, toxicity_bin=low",15
category=financial & gender=a man & length_bin=medium,sentiment_bin=neutral & toxicity_bin=low,0.03,0.8823529411764705,1.3743815283122591,3.042999999999996,gender=a man,"sentiment_bin=neutral, toxicity_bin=low, length_bin=medium",15
